"Element","h_index","g_index","m_index","TC","NP","PY_start"
"AHMEIDAT A","1","1","0.250","9","1","2021"
"AHN JH","1","1","0.333","2","1","2022"
"AHN JY","1","1","0.250","10","1","2021"
"AHUJA V","1","1","0.250","13","1","2021"
"AHUMADA LM","1","1","0.500","3","2","2023"
"AIANI LM","1","1","0.200","15","1","2020"
"AIELLO G","1","1","0.333","16","1","2022"
"AIELLO M","1","1","0.125","16","1","2017"
"AISYATI A","1","1","0.333","1","1","2022"
"AIZAWA N","1","1","0.091","26","1","2014"
"AKAMINE K","1","1","0.250","2","1","2021"
"AKBARI SH","1","1","0.125","45","1","2017"
"AKBARNEJAD H","1","1","0.250","5","1","2021"
"AKHMADEEV N","1","1","0.333","11","1","2022"
"AKHTER T","1","1","0.333","11","1","2022"
"AKINAGA J","1","1","0.333","7","1","2022"
"AKSOY S","1","1","0.333","5","1","2022"
"AKUTSU K","1","1","0.111","16","1","2016"
"AL BUSAIDI A","1","1","0.500","1","1","2023"
"AL SIYABI H","1","1","0.250","3","1","2021"
"AL ZOUBI F","1","1","0.500","7","1","2023"
"AL-TAHER M","1","1","0.333","4","1","2022"
"ALAM F","1","1","0.200","40","1","2020"
"ALAM M","1","1","0.333","1","1","2022"
"ALAM MK","1","1","0.250","24","1","2021"
"ALAMDARI A","1","1","0.500","3","1","2023"
"ALATAWI AD","1","1","0.333","10","1","2022"
"ALBAICETA GM","1","1","0.167","30","1","2019"
"ALBERDI A","1","1","0.200","13","1","2020"
"ALBERICH-BAYARRI A","1","1","0.250","5","1","2021"
"ALBERS D","1","1","0.143","44","1","2018"
"ALBERT A","1","1","0.333","3","1","2022"
"ALBERT TJ","1","1","0.100","7","1","2015"
"ALBERTINI MK","1","1","0.200","4","1","2020"
"ALBUCHER JF","1","1","0.200","15","1","2020"
"ALCONCHEL F","1","1","0.333","2","1","2022"
"ALDERLIESTEN T","1","1","0.500","2","1","2023"
"ALEXANDER CS","1","1","0.333","1","1","2022"
"ALEXANDER PC","1","1","0.333","1","1","2022"
"ALFÉREZ GH","1","1","0.200","10","1","2020"
"ALHANAI T","1","1","0.250","7","1","2021"
"ALHUSSEINI MI","1","1","0.500","1","1","2023"
"ALI A","1","1","0.333","7","1","2022"
"ALI F","1","1","0.143","6","1","2018"
"ALI I","1","1","0.167","5","1","2019"
"ALI SABER E","1","1","0.200","4","1","2020"
"ALI SM","1","1","0.333","16","1","2022"
"ALI SR","1","1","0.500","7","1","2023"
"ALI U","1","1","0.333","16","1","2022"
"ALITTO HJ","1","1","0.333","1","1","2022"
"ALLAART CP","1","1","0.200","21","1","2020"
"ALLEN AD","1","1","0.111","1","1","2016"
"ALLEN WL","1","1","0.333","1","1","2022"
"ALLOCCA M","1","1","0.200","2","1","2020"
"ALMAHARIQ H","1","1","0.500","9","1","2023"
"ALNES SL","1","1","0.500","7","1","2023"
"ALOBAIDA A","1","1","0.333","10","1","2022"
"ALPAUGH K","1","1","0.500","8","1","2023"
"ALREZ A","1","1","0.500","1","1","2023"
"ALSHEHRI S","1","1","0.333","10","1","2022"
"ALSUBAIYEL AM","1","1","0.333","10","1","2022"
"ALTAF MAB","1","1","0.167","55","1","2019"
"ALTEN JA","1","1","0.125","15","1","2017"
"ALTIN C","1","1","0.500","1","1","2023"
"ALTINAY S","1","1","0.333","8","1","2022"
"ALVAREZ-MON MA","1","1","0.250","6","1","2021"
"ALVAREZ-RODRIGUEZ M","1","1","0.200","9","1","2020"
"AMBREEN A","1","1","0.333","11","1","2022"
"AMBULKAR RP","1","1","0.250","6","1","2021"
"AMEIS D","1","1","0.250","10","1","2021"
"AMIN NH","1","1","0.167","54","1","2019"
"AMIR G","1","1","0.083","10","1","2013"
"AMITAL H","1","1","0.500","3","1","2023"
"AMJAD MA","1","1","0.500","1","1","2023"
"AMODE R","1","1","0.250","2","1","2021"
"AMOR SM","1","1","0.250","8","1","2021"
"AN L","1","1","0.111","18","1","2016"
"AN Z","1","1","0.250","1","1","2021"
"ANAN MA","1","1","0.333","11","1","2022"
"ANAND KJS","1","1","0.250","7","1","2021"
"ANAND P","1","1","0.500","3","1","2023"
"ANASTASIO MA","1","1","0.333","18","1","2022"
"ANDERSEN FL","1","1","0.167","68","1","2019"
"ANDERSON DB","1","1","0.333","3","1","2022"
"ANDRADE JP","1","1","0.333","1","1","2022"
"ANDRADE P","1","1","0.167","5","1","2019"
"ANDREOZZI M","1","1","0.500","2","1","2023"
"ANDRES A","1","1","0.333","1","1","2022"
"ANDRESEN N","1","1","0.200","35","1","2020"
"ANDREWS NA","1","1","0.333","8","1","2022"
"ANDRINOPOULOU E-R","1","1","0.500","2","1","2023"
"ANG CYS","1","1","0.333","8","1","2022"
"ANGEL-GARCÍA O","1","1","0.200","7","1","2020"
"ANGERMAIR S","1","1","0.333","3","1","2022"
"ANNAMALAI AK","1","1","0.083","1","1","2013"
"ANSERMINO JM","1","1","0.200","9","1","2020"
"ANSHI W","1","1","0.333","1","1","2022"
"ANTA LD","1","1","0.250","6","1","2021"
"ANTONENKO P","1","1","0.500","2","1","2023"
"ANTONINO M","1","1","0.167","19","1","2019"
"ANTONTSEV V","1","1","0.250","6","1","2021"
"ANTUNES M","1","1","0.500","3","1","2023"
"ANWARUDDIN S","1","1","0.200","8","1","2020"
"AOKI Y","1","1","0.250","2","1","2021"
"APAYDIN F","1","1","0.500","1","1","2023"
"APKARIAN AV","1","1","0.500","1","1","2023"
"AQAJARI SAH","1","1","0.250","27","1","2021"
"ARAI M","1","1","0.111","11","1","2016"
"ARBEID E","1","1","0.125","13","1","2017"
"ARBOUS MS","1","1","0.500","2","1","2023"
"ARGIOLAS M","1","1","0.100","42","1","2015"
"ARIU F","1","1","0.167","7","1","2019"
"ARKHIPOVA N","1","1","0.333","4","1","2022"
"ARMSTRONG R","1","1","0.333","7","1","2022"
"ARNOLD J","1","1","0.500","6","1","2023"
"AROF H","1","1","0.167","6","1","2019"
"ARONSON S","1","1","0.167","49","1","2019"
"ARORA D","1","1","0.500","1","1","2023"
"AROSTEGUI I","1","1","0.500","1","1","2023"
"ARROSPIDE A","1","1","0.200","13","1","2020"
"ARTEAGA GM","1","1","0.125","10","1","2017"
"ARTMAN J","1","1","0.500","4","1","2023"
"ARYA G","1","1","0.500","1","1","2023"
"ASARO LA","1","1","0.143","15","1","2018"
"ASCH SM","1","2","0.167","40","2","2019"
"ASENSIO-SAMPER JM","1","1","0.250","5","1","2021"
"ASGHAR A","1","1","0.333","4","1","2022"
"ASHAB HA-D","1","1","0.100","20","1","2015"
"ASHER S","1","1","0.333","38","1","2022"
"ASHIKHMIN I","1","1","0.250","4","1","2021"
"ASSEFI M","1","1","0.500","2","1","2023"
"ATALAY MK","1","1","0.500","4","1","2023"
"ATALLAH L","1","1","0.143","14","1","2018"
"ATEE M","1","1","0.143","40","1","2018"
"ATEŞ Ç","1","1","0.333","11","1","2022"
"AU AK","1","1","0.250","4","1","2021"
"AUBOYER C","1","1","0.083","2","1","2013"
"AUBRUN F","1","1","0.333","14","1","2022"
"AUER A","1","1","0.250","10","1","2021"
"AUFFARTH GU","1","1","0.200","24","1","2020"
"AUKEMA TS","1","1","0.250","32","1","2021"
"AUSTIN J","1","1","0.200","13","1","2020"
"AUSTIN K","1","1","0.200","22","1","2020"
"AUTORINO R","1","1","0.333","5","1","2022"
"AVIDAN A","1","1","0.250","5","1","2021"
"AVILOV O","1","1","0.250","9","1","2021"
"AWADALLA SS","1","1","0.333","3","1","2022"
"AWADALLAH NS","1","1","0.167","6","1","2019"
"AYTUG H","1","1","0.250","5","1","2021"
"AZAD TD","1","1","0.200","18","1","2020"
"AZIMARAGHI O","1","1","0.500","3","1","2023"
"AZIZ H","1","1","0.333","11","1","2022"
"AZIZ MA","1","1","0.333","11","1","2022"
"AĞIN A","1","1","0.333","5","1","2022"
"BAATRUP G","1","1","0.333","13","1","2022"
"BABADI B","1","1","0.125","5","1","2017"
"BABALIAROS V","1","1","0.500","1","1","2023"
"BACH K","1","1","0.250","4","1","2021"
"BACHELOT G","1","1","0.500","2","1","2023"
"BACIARELLO M","1","1","0.333","2","1","2022"
"BACIGALUPPI S","1","1","0.500","3","1","2023"
"BACKER CL","1","1","0.143","12","1","2018"
"BADALAMENTI M","1","1","0.333","7","1","2022"
"BADGELEY M","1","1","0.333","12","1","2022"
"BADGELEY MA","1","1","0.250","9","1","2021"
"BADNJEVIC A","1","1","0.500","1","1","2023"
"BAE K","1","1","0.200","4","1","2020"
"BAER AG","1","1","0.200","16","1","2020"
"BAGCAZ S","1","2","0.250","21","2","2021"
"BAGHDOYAN HA","1","1","0.200","16","1","2020"
"BAHK J-H","1","1","0.143","129","1","2018"
"BAHÇECI ŞIMŞEK İ","1","1","0.250","13","1","2021"
"BAI M","1","1","0.250","2","3","2021"
"BAI P","1","1","0.200","8","1","2020"
"BAILEY JG","1","1","0.250","68","1","2021"
"BAIOCCHI C","1","1","0.250","13","1","2021"
"BAIRD GL","1","1","0.500","4","1","2023"
"BAJORAT J","1","1","0.083","13","1","2013"
"BAJWA EK","1","1","0.125","24","1","2017"
"BAK LLM","1","1","0.167","6","1","2019"
"BAKER JG","1","1","0.333","7","1","2022"
"BALANZA G","1","1","0.500","2","1","2023"
"BALAYSSAC D","1","1","0.250","2","1","2021"
"BALDOCK AJ","1","1","0.100","24","1","2015"
"BALLAST A","1","1","0.333","5","1","2022"
"BALLWEG T","1","1","0.333","20","1","2022"
"BALMER RC","1","1","0.250","3","1","2021"
"BALSIGER J","1","1","0.250","7","1","2021"
"BALZARINI F","1","1","0.500","1","1","2023"
"BAMBOS N","1","1","0.250","17","1","2021"
"BANDINO S","1","1","0.250","13","1","2021"
"BANDIĆ I","1","1","0.500","9","1","2023"
"BANERJEE I","1","1","0.167","40","1","2019"
"BAO H","1","1","0.500","1","1","2023"
"BAO T","1","1","0.143","20","1","2018"
"BAO X-H","1","1","0.250","1","1","2021"
"BAO Y","1","1","0.250","69","1","2021"
"BAQUERO K","1","1","0.111","36","1","2016"
"BARATTO L","1","1","0.333","4","1","2022"
"BARBIER EL","1","1","0.250","7","1","2021"
"BARBIERI S","1","1","0.333","15","1","2022"
"BARDAL EM","1","1","0.250","4","1","2021"
"BARDE SM","1","1","0.500","1","1","2023"
"BARGSHADY G","1","1","0.200","86","1","2020"
"BARIBEAU Y","1","1","0.200","99","1","2020"
"BARLETTA M","1","1","0.250","2","1","2021"
"BARLOW JD","1","1","0.333","7","1","2022"
"BARON S","1","1","0.250","10","1","2021"
"BARRA A","1","1","0.333","29","1","2022"
"BARRA S","1","1","0.250","13","1","2021"
"BARRAS M","1","1","0.200","13","1","2020"
"BARRETT LB","1","1","0.333","8","1","2022"
"BARRY GS","1","1","0.250","68","1","2021"
"BARTEN DLJ","1","1","0.500","2","1","2023"
"BARTHELEMY J-C","1","1","0.083","2","1","2013"
"BARTKOWIAK T","1","1","0.500","1","1","2023"
"BARUA I","1","1","0.500","2","1","2023"
"BARUT O","1","1","0.333","8","1","2022"
"BARWISE A","1","1","0.125","10","1","2017"
"BASHIR K","1","1","0.500","1","1","2023"
"BASIREDDY HR","1","1","0.500","4","1","2023"
"BATABYAL S","1","1","0.250","1","1","2021"
"BATASHKI A","1","1","0.125","2","1","2017"
"BATCIOGLU K","1","1","0.333","8","1","2022"
"BAUER C","1","1","0.250","2","1","2021"
"BAUMANN AJ","1","1","0.250","18","1","2021"
"BAUTIN A","1","1","0.091","1","1","2014"
"BAVEREL PG","1","1","0.333","5","1","2022"
"BAXA J","1","1","0.143","1","1","2018"
"BAYKANER T","1","1","0.500","1","1","2023"
"BAZIL C","1","1","0.250","7","1","2021"
"BAZZOLI F","1","1","0.143","62","1","2018"
"BAÑERES A","1","1","0.200","1","1","2020"
"BEAULÉ PE","1","1","0.500","7","1","2023"
"BECHADE D","1","1","0.250","11","1","2021"
"BECK J","1","1","0.125","8","1","2017"
"BEDARD NA","1","1","0.500","2","1","2023"
"BEDOYA MA","1","1","0.500","5","1","2023"
"BEETS-TAN RGH","1","1","0.250","32","1","2021"
"BEHMANN N","1","1","0.333","1","1","2022"
"BEIGI P","1","1","0.250","22","1","2021"
"BEITH J","1","1","0.083","53","1","2013"
"BEL A","1","1","0.500","2","1","2023"
"BELIK V","1","1","0.200","35","1","2020"
"BELK KW","1","1","0.250","2","1","2021"
"BELLEW B","1","1","0.500","4","1","2023"
"BELOUALI A","1","1","0.500","3","1","2023"
"BELUR NAGARAJ S","1","1","0.333","1","1","2022"
"BEN-BOLIE HG","1","1","0.167","16","1","2019"
"BENCTEUX V","1","1","0.333","4","1","2022"
"BENDER M","1","1","0.333","1","1","2022"
"BENDZ P","1","1","0.250","2","1","2021"
"BENIZRI A","1","1","0.167","2","1","2019"
"BENOS PV","1","1","0.250","4","1","2021"
"BENSETRA A","1","1","0.500","1","1","2023"
"BERG AS","1","1","0.500","1","1","2023"
"BERGE GT","1","1","0.500","9","1","2023"
"BERGE P","1","1","0.200","238","1","2020"
"BERGER S","1","1","0.500","1","1","2023"
"BERGHI ON","1","1","0.333","9","1","2022"
"BERGHMANS J","1","1","0.250","6","1","2021"
"BERGHOLZ A","1","2","0.500","10","2","2023"
"BERGMANN JHM","1","1","0.167","35","1","2019"
"BERK F","1","1","0.333","3","1","2022"
"BERKUN K","1","1","0.250","13","1","2021"
"BERTHAUT I","1","1","0.500","2","1","2023"
"BERTHEUSSEN GF","1","1","0.250","4","1","2021"
"BERTOLO A","1","1","0.200","20","1","2020"
"BERTORELLI G","1","1","0.333","14","1","2022"
"BERZIN TM","1","1","0.500","2","1","2023"
"BESENFELDER U","1","1","0.143","3","1","2018"
"BETTO G","1","1","0.500","6","1","2023"
"BEVILACQUA K","1","1","0.250","4","1","2021"
"BEZEMER R","1","1","0.143","14","1","2018"
"BHANDARE M","1","1","0.250","6","1","2021"
"BHANGUI P","1","1","0.333","2","1","2022"
"BHARADWAJ K","1","1","0.500","2","1","2023"
"BHARAT C","1","1","0.333","15","1","2022"
"BHATIA A","1","1","0.167","22","1","2019"
"BHATTACHARYA BS","1","1","0.333","4","1","2022"
"BIANCHI-BERTHOUZE N","1","1","0.250","5","1","2021"
"BIGLIARDI B","1","1","0.200","45","1","2020"
"BILLOT M","1","1","0.250","10","1","2021"
"BILOTTA F","1","1","0.500","3","1","2023"
"BIN H","1","1","0.333","1","1","2022"
"BINK A","1","1","0.125","8","1","2017"
"BIRATI EY","1","1","0.200","8","1","2020"
"BIRINGER K","1","1","0.250","68","1","2021"
"BIRK E","1","1","0.083","10","1","2013"
"BIRKENBIHL C","1","1","0.250","68","1","2021"
"BIROLINI C","1","1","0.333","3","1","2022"
"BISHARAT B","1","1","0.500","3","1","2023"
"BISWAS R","1","1","0.125","4","1","2017"
"BITAN S","1","1","0.083","10","1","2013"
"BITELLI G","1","1","0.200","1","1","2020"
"BITTNER EA","1","1","0.500","2","1","2023"
"BITZENHOFER SH","1","1","0.167","20","1","2019"
"BJARNADÓTTIR MV","1","1","0.333","3","1","2022"
"BLACK M","1","1","0.250","9","1","2021"
"BLANCH L","1","1","0.167","30","1","2019"
"BLANES-VIDAL V","1","1","0.333","13","1","2022"
"BLANKERTZ B","1","1","0.333","1","1","2022"
"BLAQUIERE M","1","1","0.250","7","1","2021"
"BLAUW LL","1","1","0.250","53","1","2021"
"BLAYNEY DW","1","1","0.200","12","1","2020"
"BLISS C","1","1","0.333","38","1","2022"
"BLUME H","1","1","0.333","1","1","2022"
"BO A","1","1","0.333","20","1","2022"
"BO SVENDSEN L","1","1","0.083","7","1","2013"
"BO T","1","1","0.333","4","1","2022"
"BOCACCIO H","1","1","0.500","10","1","2023"
"BOCCIA R","1","1","0.250","3","1","2021"
"BOCTOR EM","1","1","0.250","8","1","2021"
"BODART O","1","1","0.333","29","1","2022"
"BODMER NJ","1","1","0.333","1","1","2022"
"BOER C","1","1","0.143","14","1","2018"
"BOETTCHER BT","1","1","0.111","3","1","2016"
"BOGGS SD","1","1","0.167","22","1","2019"
"BOGLIOLO L","1","1","0.167","7","1","2019"
"BOHIC M","1","1","0.500","6","1","2023"
"BOHNET-JOSCHKO S","1","1","0.250","13","1","2021"
"BOHNSLAV JP","1","1","0.333","8","1","2022"
"BOHUNEK L","1","1","0.250","53","1","2021"
"BOIE S","1","1","0.333","3","1","2022"
"BOINON D","1","1","0.100","10","1","2015"
"BOIVIN B","1","1","0.333","8","1","2022"
"BOLDERMO N","1","1","0.250","4","1","2021"
"BOLDRINI L","1","1","0.333","5","1","2022"
"BOLES U","1","1","0.333","1","1","2022"
"BOLLEN P","1","1","0.333","13","1","2022"
"BONEKAMP D","1","1","0.250","20","1","2021"
"BONNIER G","1","1","0.500","3","1","2023"
"BOON M","1","2","0.200","62","2","2020"
"BOOSTANI R","1","1","0.250","35","1","2021"
"BOOTH GJ","1","1","0.500","3","1","2023"
"BORASINO S","1","1","0.125","15","1","2017"
"BORDA E","1","1","0.250","7","1","2021"
"BORDAS SPA","1","1","0.333","4","1","2022"
"BORDONI L","1","1","0.500","2","1","2023"
"BORGES DO NASCIMENTO IJ","1","1","0.500","4","1","2023"
"BORGES L","1","1","0.333","38","1","2022"
"BORIĆ M","1","1","0.100","1","1","2015"
"BORRINI G","1","1","0.333","4","1","2022"
"BORSKI C","1","1","0.333","5","1","2022"
"BOSE S","1","1","0.143","20","1","2018"
"BOSMA RL","1","1","0.167","22","1","2019"
"BOSMAN PAN","1","1","0.500","2","1","2023"
"BOTTANI E","1","1","0.333","14","1","2022"
"BOTTINO P","1","1","0.500","1","1","2023"
"BOTTONI N","1","1","0.250","13","1","2021"
"BOUAMRANE M-M","1","1","0.500","3","1","2023"
"BOUCHE B","1","1","0.250","10","1","2021"
"BOUDREAU M","1","1","0.250","5","1","2021"
"BOUGRAIN L","1","1","0.250","9","1","2021"
"BOULOS N","1","1","0.500","7","1","2023"
"BOUNCHAN Y","1","1","0.100","7","1","2015"
"BOUNES F","1","1","0.200","15","1","2020"
"BOUTER A","1","1","0.500","2","1","2023"
"BOUTOUIL H","1","1","0.250","11","1","2021"
"BOUWMAN RA","1","1","0.500","3","1","2023"
"BOUX F","1","1","0.250","7","1","2021"
"BOVEROUX P","1","1","0.111","36","1","2016"
"BOWNESS J","1","1","0.250","31","1","2021"
"BOYD JE","1","1","0.125","26","1","2017"
"BOYD JH","1","1","0.250","53","1","2021"
"BOYD MJ","1","1","0.083","7","1","2013"
"BOYLE E","1","1","0.167","25","1","2019"
"BOYLE EJ","1","1","0.125","24","1","2017"
"BOYLE R","1","1","0.500","7","1","2023"
"BRACZKOWSKA M","1","1","0.250","1","1","2021"
"BRADY RD","1","1","0.167","5","1","2019"
"BRAGAZZI NL","1","1","0.500","3","1","2023"
"BRAMLAGE P","1","1","0.333","5","1","2022"
"BRANCO P","1","1","0.500","1","1","2023"
"BRANDEAU ML","1","1","0.167","80","1","2019"
"BRANDENBURG S","1","1","0.333","11","1","2022"
"BRANDON WESTOVER M","1","1","0.125","24","1","2017"
"BRANDT B","1","1","0.083","7","1","2013"
"BRAZEL EB","1","1","0.333","2","1","2022"
"BREM G","1","1","0.143","3","1","2018"
"BRENN BR","1","1","0.200","7","1","2020"
"BRENNAN M","1","1","0.250","5","1","2021"
"BRETTHAUER M","1","1","0.500","2","1","2023"
"BREUER G","1","1","0.091","7","1","2014"
"BREUKING SO","1","1","0.250","32","1","2021"
"BRIER LM","1","1","0.333","18","1","2022"
"BRIGO F","1","1","0.333","1","1","2022"
"BRILLINGER J","1","1","0.500","7","1","2023"
"BRISTOW M","1","2","0.333","7","2","2022"
"BROADHEAD M","1","1","0.500","6","1","2023"
"BROCHARD LJ","1","1","0.250","7","1","2021"
"BROCKMANN L","1","1","0.500","10","1","2023"
"BROHAN J","1","1","0.333","3","1","2022"
"BRONICKI RA","1","1","0.167","8","1","2019"
"BRONSHTEYN YS","1","1","0.250","2","1","2021"
"BROOKES MJ","1","1","0.250","13","1","2021"
"BROOKES SJH","1","1","0.125","3","1","2017"
"BROOKS JD","1","1","0.200","12","1","2020"
"BROUSSEAU P","1","1","0.250","68","1","2021"
"BROWN JB","1","1","0.200","16","1","2020"
"BROWN R","1","1","0.167","50","1","2019"
"BROWN W","1","1","0.333","4","1","2022"
"BRUGGE WR","1","1","0.333","38","1","2022"
"BRUMMETT C","1","1","0.500","1","1","2023"
"BRUMMETT CM","1","1","0.333","14","1","2022"
"BRUNHAM LR","1","1","0.250","53","1","2021"
"BRUNO M-A","1","1","0.111","36","1","2016"
"BRUZELIUS E","1","1","0.250","5","1","2021"
"BRÄM DS","1","1","0.333","5","1","2022"
"BUBNOV R","1","1","0.250","68","1","2021"
"BUCCINO VR","1","1","0.167","19","1","2019"
"BUCHANAN T","1","1","0.333","2","1","2022"
"BUDDE B","1","1","0.333","2","1","2022"
"BUDDI S","1","1","0.250","29","1","2021"
"BUDELIER T","1","2","0.143","28","2","2018"
"BUDELIER TP","1","1","0.200","8","1","2020"
"BUFORD TW","1","1","0.333","2","1","2022"
"BUGGENHOUT A","1","1","0.167","28","1","2019"
"BULAS D","1","1","0.167","57","1","2019"
"BULSKI JC","1","1","0.250","1","1","2021"
"BUMBASIREVIC M","1","1","0.333","16","1","2022"
"BUREY J","1","1","0.500","1","1","2023"
"BURGART A","1","1","0.200","14","1","2020"
"BURGUIÈRE E","1","1","0.250","5","1","2021"
"BURIC DM","1","1","0.333","1","1","2022"
"BURKETT-ST LAURENT D","1","1","0.250","31","1","2021"
"BURKHARDT BW","1","1","0.500","2","1","2023"
"BURNETT TA","1","1","0.333","4","1","2022"
"BURNS JC","1","1","0.500","8","1","2023"
"BURTON BN","1","1","0.500","1","1","2023"
"BUSCHIAZZO V","1","1","0.111","4","1","2016"
"BUSTAMANTE H","1","1","0.250","49","1","2021"
"BUTLER G","1","1","0.200","22","1","2020"
"BUTTE A","1","1","0.333","7","1","2022"
"BUTTE AJ","1","1","0.333","25","1","2022"
"BUTTE J","1","1","0.143","6","1","2018"
"BUX A","1","1","0.333","6","1","2022"
"BUY X","1","1","0.250","11","1","2021"
"BYKU I","1","1","0.500","1","1","2023"
"BYUN S","1","1","0.333","5","1","2022"
"BYUN W","1","1","0.200","23","1","2020"
"BÄCKE P","1","1","0.250","9","1","2021"
"BÖRM P","1","1","0.250","2","1","2021"
"BØRKE J-B","1","1","0.250","4","1","2021"
"BÜSSELBERG D","1","1","0.250","68","1","2021"
"C HENSHALL D","1","1","0.250","11","1","2021"
"CACCIAMANI G","1","1","0.333","9","1","2022"
"CAI F","1","1","0.500","1","1","2023"
"CAI HX","1","1","0.200","3","1","2020"
"CAI J","1","1","0.167","45","1","2019"
"CALABRESE A","1","1","0.333","4","1","2022"
"CALDEIRA M","1","1","0.200","40","1","2020"
"CALGI MP","1","1","0.333","8","1","2022"
"CALIS P","1","1","0.200","61","1","2020"
"CALLE P","1","1","0.333","7","1","2022"
"CALLEALTA I","1","1","0.167","13","1","2019"
"CALLERIS G","1","1","0.333","1","1","2022"
"CALVANI C","1","1","0.333","5","1","2022"
"CALVO JL","1","1","0.125","29","1","2017"
"CAMMAROTA G","1","2","0.125","39","2","2017"
"CAMPANELLA S","1","1","0.167","11","1","2019"
"CAMPBELL JM","1","1","0.200","25","1","2020"
"CAMPBELL MK","1","1","0.111","22","1","2016"
"CAMPOS-VARELA I","1","1","0.333","2","1","2022"
"CAMUS E","1","1","0.091","3","1","2014"
"CANALES C","1","2","0.200","17","2","2020"
"CAO H","1","1","0.200","2","3","2020"
"CAO J","1","1","0.500","2","2","2023"
